X,Y,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,FID
-76.1527601409237,43.0020586992108,178             ,SNOW & ICE,2018/01/03 05:00:14+00,W,360 SENECA TNPK W & VALLEY DR                     ,    ,-76.1527601409237,43.0020586992108,1
-76.1529732409946,43.0020848992073,178             ,SNOW & ICE,2018/01/03 05:00:19+00,W,360 SENECA TNPK W & VALLEY DR                     ,    Stop Moving,-76.1529732409946,43.0020848992073,2
-76.153131941081,43.0025715992907,178             ,SNOW & ICE,2018/01/03 05:00:29+00,N,1524 VALLEY DR                                    ,    Start Moving,-76.153131941081,43.0025715992907,3
-76.156007242441,43.0085224002742,178             ,SNOW & ICE,2018/01/03 05:01:29+00,N,831 VALLEY DR                                     ,    ,-76.156007242441,43.0085224002742,4
-76.1591107438736,43.0144509012446,178             ,SNOW & ICE,2018/01/03 05:02:29+00,N,359-61 VALLEY DR & MEDORA PL                      ,    ,-76.1591107438736,43.0144509012446,5
-76.1599541442623,43.0160542015068,178             ,SNOW & ICE,2018/01/03 05:02:49+00,N,736 NEWELL ST W & VALLEY DR                       ,    Stop Moving,-76.1599541442623,43.0160542015068,6
-76.1602872444162,43.0166916016112,178             ,SNOW & ICE,2018/01/03 05:03:00+00,N,245-47 VALLEY DR                                  ,    Start Moving,-76.1602872444162,43.0166916016112,7
-76.1593356444365,43.0212664024893,178             ,SNOW & ICE,2018/01/03 05:04:00+00,N,1616-18 SOUTH AVE                                 ,    ,-76.1593356444365,43.0212664024893,8
-76.1592419445283,43.0229657028054,178             ,SNOW & ICE,2018/01/03 05:04:21+00,N,1500 SOUTH AVE & COLVIN ST W                      ,    Stop Moving,-76.1592419445283,43.0229657028054,9
-76.1592629445838,43.0236434029292,178             ,SNOW & ICE,2018/01/03 05:04:32+00,N,1407-09 SOUTH AVE                                 ,    Start Moving,-76.1592629445838,43.0236434029292,10
-76.1620022456506,43.0261214032788,178             ,SNOW & ICE,2018/01/03 05:05:20+00,N,709-11 ONONDAGA AVE                               ,    Stop Moving,-76.1620022456506,43.0261214032788,11
-76.1621447456872,43.0259879032487,178             ,SNOW & ICE,2018/01/03 05:06:20+00,E,718 ONONDAGA AVE & ELOISE TER                     ,    ,-76.1621447456872,43.0259879032487,12
-76.1620126456503,43.0260697032688,178             ,SNOW & ICE,2018/01/03 05:06:32+00,N,718 ONONDAGA AVE & ELOISE TER                     ,    Start Moving,-76.1620126456503,43.0260697032688,13
-76.1623489457961,43.0265802033497,178             ,SNOW & ICE,2018/01/03 05:06:49+00,NW,701 ONONDAGA AVE & CENTENNIAL                     ,    Stop Moving,-76.1623489457961,43.0265802033497,14
-76.1627576459267,43.026553603329,178             ,SNOW & ICE,2018/01/03 05:07:49+00,W,103 PARKVIEW AVE & ONONDAGA A                     ,    ,-76.1627576459267,43.026553603329,15
-76.162526645855,43.0265979033461,178             ,SNOW & ICE,2018/01/03 05:08:49+00,E,103 PARKVIEW AVE & ONONDAGA A                     ,    ,-76.162526645855,43.0265979033461,16
-76.1623807458071,43.0265899033502,178             ,SNOW & ICE,2018/01/03 05:08:55+00,E,701 ONONDAGA AVE & CENTENNIAL                     ,    Start Moving,-76.1623807458071,43.0265899033502,17
-76.1623646458058,43.0266447033609,178             ,SNOW & ICE,2018/01/03 05:08:58+00,N,701 ONONDAGA AVE & CENTENNIAL                     ,    ,-76.1623646458058,43.0266447033609,18
-76.1640312465377,43.0293031037851,178             ,SNOW & ICE,2018/01/03 05:09:50+00,NW,409 ONONDAGA AVE                                  ,    Stop Moving,-76.1640312465377,43.0293031037851,19
-76.1643321466785,43.0299039038839,178             ,SNOW & ICE,2018/01/03 05:10:02+00,N,323 ONONDAGA AVE & CHENEY ST                      ,    Start Moving,-76.1643321466785,43.0299039038839,20
-76.1647582470454,43.0330822044517,178             ,SNOW & ICE,2018/01/03 05:10:43+00,N,201 ONONDAGA AVE & BELLEVUE A                     ,    Stop Moving,-76.1647582470454,43.0330822044517,21
