X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,FID
-76.1420897410791,43.0523662088736,265             ,SNOW & ICE,2017/03/13 04:00:07+00,2017/03/13 04:00:08+00,202 CATHERINE ST & BURNET AVE                     ,    Stop Moving,-76.1420897410791,43.0523662088736,1
-76.1526776439193,43.0440977069442,283             ,SNOW & ICE,2017/03/13 04:00:10+00,2017/03/13 04:00:10+00,484-98 SALINA ST S & ONONDAGA ST                  ,    Start Moving,-76.1526776439193,43.0440977069442,2
-76.1598281442039,43.0158087014665,263             ,SNOW & ICE,2017/03/13 04:00:10+00,2017/03/13 04:00:10+00,736 NEWELL ST W & VALLEY DR                       ,    ,-76.1598281442039,43.0158087014666,3
-76.1421119410625,43.0520352088119,265             ,SNOW & ICE,2017/03/13 04:00:18+00,2017/03/13 04:00:19+00,322-24 BURNET AVE & CATHERINE ST                  ,    Start Moving,-76.1421119410625,43.0520352088119,4
-76.1116476323611,43.0685004130159,285             ,SNOW & ICE,2017/03/13 04:00:20+00,2017/03/13 04:00:20+00,2430-50 JAMES ST & FOREST HILL DR                 ,    ,-76.1116476323611,43.0685004130159,5
-76.1592814446443,43.0244001030676,267             ,SNOW & ICE,2017/03/13 04:00:22+00,2017/03/13 04:00:22+00,1300 SOUTH AVE & PARKWAY DR                       ,    Spreader On,-76.1592814446443,43.0244001030676,6
-76.1118406316986,43.0584204111565,208             ,SNOW & ICE,2017/03/13 04:00:24+00,2017/03/13 04:00:24+00,300 CALEB AVE & STAFFORD AVE                      ,    ,-76.1118406316986,43.0584204111565,7
-76.1420742410343,43.0518129087726,265             ,SNOW & ICE,2017/03/13 04:00:24+00,2017/03/13 04:00:25+00,322-24 BURNET AVE & CATHERINE ST                  ,    Stop Moving,-76.1420742410343,43.0518129087726,8
-76.1545034444165,43.0427771066308,283             ,SNOW & ICE,2017/03/13 04:00:31+00,2017/03/13 04:00:31+00,240-48 ONONDAGA ST W                              ,    Stop Moving,-76.1545034444165,43.0427771066308,9
-76.1458946438785,43.0740857127159,178             ,SNOW & ICE,2017/03/13 04:00:34+00,2017/03/13 04:00:34+00,2308 GRANT BLVD & MCCHESNEY PK                    ,    ,-76.1458946438785,43.0740857127159,10
-76.1545781444365,43.0427186066172,283             ,SNOW & ICE,2017/03/13 04:00:35+00,2017/03/13 04:00:35+00,240-48 ONONDAGA ST W                              ,    Plow Down,-76.1545781444365,43.0427186066172,11
-76.1550261445579,43.0423854065386,283             ,SNOW & ICE,2017/03/13 04:00:42+00,2017/03/13 04:00:42+00,316 ONONDAGA ST W                                 ,    Start Moving,-76.1550261445579,43.0423854065386,12
-76.1119117317853,43.0593049113163,208             ,SNOW & ICE,2017/03/13 04:00:43+00,2017/03/13 04:00:44+00,472 STAFFORD AVE                                  ,    Spreader On,-76.1119117317853,43.0593049113163,13
-76.1590036476867,43.0679014110723,216             ,SNOW & ICE,2017/03/13 04:00:44+00,2017/03/13 04:00:44+00,1304 SALINA ST N & COURT ST &                     ,    Start Moving,-76.1590036476867,43.0679014110723,14
-76.16153474497,43.0187667019445,263             ,SNOW & ICE,2017/03/13 04:00:47+00,2017/03/13 04:00:47+00,117 GLENWOOD AVE & ELMWOOD AV                     ,    ,-76.16153474497,43.0187667019445,15
-76.1615679449801,43.0187571019414,263             ,SNOW & ICE,2017/03/13 04:00:48+00,2017/03/13 04:00:48+00,117 GLENWOOD AVE & ELMWOOD AV                     ,    Spreader On,-76.1615679449801,43.0187571019414,16
-76.1113427313226,43.0554401106281,179             ,SNOW & ICE,2017/03/13 04:00:48+00,2017/03/13 04:00:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113427313226,43.0554401106281,17
-76.1105329310795,43.0557131107096,286             ,SNOW & ICE,2017/03/13 04:00:54+00,2017/03/13 04:00:55+00,1824 EB I 690 SYRACUSE 13210                      ,    ,-76.1105329310795,43.0557131107096,18
-76.1107872311584,43.0556631106906,210             ,SNOW & ICE,2017/03/13 04:00:56+00,2017/03/13 04:00:57+00,1822 EB I 690 SYRACUSE 13210                      ,    ,-76.1107872311584,43.0556631106906,19
-76.1587264476025,43.0679816110977,216             ,SNOW & ICE,2017/03/13 04:00:56+00,2017/03/13 04:00:56+00,1503 PARK ST & COURT ST & PAST                    ,    Stop Moving,-76.1587264476025,43.0679816110977,20
-76.1120386319119,43.0604927115296,208             ,SNOW & ICE,2017/03/13 04:01:03+00,2017/03/13 04:01:03+00,428 STAFFORD AVE                                  ,    Spreader Off,-76.1120386319119,43.0604927115296,21
-76.1584494475197,43.0680794111264,216             ,SNOW & ICE,2017/03/13 04:01:05+00,2017/03/13 04:01:05+00,314 COURT ST                                      ,    ,-76.1584494475197,43.0680794111264,22
-76.1584342475164,43.0681022111312,216             ,SNOW & ICE,2017/03/13 04:01:06+00,2017/03/13 04:01:06+00,314 COURT ST                                      ,    Start Moving,-76.1584342475164,43.0681022111312,23
-76.1582247474673,43.0683642111874,216             ,SNOW & ICE,2017/03/13 04:01:16+00,2017/03/13 04:01:16+00,1411 PARK ST & COURT ST                           ,    Stop Moving,-76.1582247474673,43.0683642111874,24
-76.1121029320053,43.0615019117126,208             ,SNOW & ICE,2017/03/13 04:01:18+00,2017/03/13 04:01:18+00,372 STAFFORD AVE & SUNNYCREST                     ,    Spreader On,-76.1121029320053,43.0615019117126,25
-76.1116337323556,43.0684859130138,285             ,SNOW & ICE,2017/03/13 04:01:20+00,2017/03/13 04:01:20+00,2430-50 JAMES ST & FOREST HILL DR                 ,    ,-76.1116337323556,43.0684859130138,26
-76.1121179320188,43.0616206117338,208             ,SNOW & ICE,2017/03/13 04:01:20+00,2017/03/13 04:01:20+00,372 STAFFORD AVE & SUNNYCREST                     ,    Spreader Off,-76.1121179320187,43.0616206117338,27
-76.1584154447598,43.0299114041144,267             ,SNOW & ICE,2017/03/13 04:01:21+00,2017/03/13 04:01:21+00,817 SOUTH AVE                                     ,    ,-76.1584154447598,43.0299114041144,28
-76.1421656409993,43.0509146086039,265             ,SNOW & ICE,2017/03/13 04:01:23+00,2017/03/13 04:01:24+00,627 WATER ST E & ALMOND ST &                      ,    ,-76.1421656409993,43.0509146086039,29
-76.1578989473953,43.0688317112859,216             ,SNOW & ICE,2017/03/13 04:01:27+00,2017/03/13 04:01:27+00,1500 PARK ST & COURT ST                           ,    Start Moving,-76.1578989473953,43.0688317112859,30
-76.1458824438742,43.0740811127156,178             ,SNOW & ICE,2017/03/13 04:01:34+00,2017/03/13 04:01:34+00,2308 GRANT BLVD & MCCHESNEY PK                    ,    ,-76.1458824438742,43.0740811127156,31
-76.1421681409984,43.0508909085995,265             ,SNOW & ICE,2017/03/13 04:01:38+00,2017/03/13 04:01:38+00,627 WATER ST E & ALMOND ST &                      ,    Spreader On,-76.1421681409984,43.0508909085995,32
-76.142220241013,43.0508586085915,265             ,SNOW & ICE,2017/03/13 04:01:40+00,2017/03/13 04:01:41+00,627 WATER ST E & ALMOND ST &                      ,    Start Moving,-76.142220241013,43.0508586085916,33
-76.1607567461106,43.0381284055342,283             ,SNOW & ICE,2017/03/13 04:01:42+00,2017/03/13 04:01:42+00,648 ONONDAGA ST W                                 ,    ,-76.1607567461106,43.0381284055342,34
-76.1122179321278,43.0626852119255,208             ,SNOW & ICE,2017/03/13 04:01:43+00,2017/03/13 04:01:43+00,332 STAFFORD AVE                                  ,    Spreader On,-76.1122179321278,43.0626852119255,35
-76.1113507313249,43.055435710627,179             ,SNOW & ICE,2017/03/13 04:01:48+00,2017/03/13 04:01:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113507313249,43.055435710627,36
-76.1648364459666,43.0177334016266,263             ,SNOW & ICE,2017/03/13 04:01:48+00,2017/03/13 04:01:48+00,144 ELMWOOD AVE TO GREENWOOD                      ,    ,-76.1648364459666,43.0177334016266,37
-76.1105424310823,43.0557092107085,286             ,SNOW & ICE,2017/03/13 04:01:54+00,2017/03/13 04:01:55+00,1824 EB I 690 SYRACUSE 13210                      ,    ,-76.1105424310823,43.0557092107085,38
