OBJECTID,GEOID,District
1,360670018003,6
2,360670017022,6
3,360670040001,11
4,360670039003,11
5,360670042002,1
6,360670056011,8
7,360670060003,9
8,360670132002,
9,360670043023,1
10,360670043021,1
11,360670057002,9
12,360670043022,1
13,360670034001,1
14,360670016002,4
15,360670029012,2
16,360670044002,8
17,360670014002,5
18,360670036021,7
19,360670030002,11
20,360670052002,10
21,360670061012,9
22,360670042001,1
23,360670004001,5
24,360670053002,11
25,360670029011,2
26,360670052001,11
27,360670049002,10
28,360670050001,10
29,360670050002,10
30,360670051001,10
31,360670051002,11
32,360670051003,10
33,360670053001,11
34,360670054001,11
35,360670054002,11
36,360670055003,8
37,360670057001,10
38,360670060002,9
39,360670058001,11
40,360670058002,9
41,360670060001,9
42,360670060004,9
43,360670061011,9
44,360670061021,9
45,360670061022,9
46,360670061031,9
47,360670061032,9
48,360670132001,2
49,360670054004,11
50,360670059001,9
51,360670055002,8
52,360670055001,8
53,360670054003,11
54,360670036022,7
55,360670059002,9
56,360670014001,5
57,360670023001,4
58,360670052003,10
59,360670007002,5
60,360670045004,7
61,360670003002,5
62,360670001001,3
63,360670002001,5
64,360670002002,4
65,360670003001,5
66,360670006002,4
67,360670004002,5
68,360670004003,5
69,360670005011,3
70,360670006003,4
71,360670007001,5
72,360670008001,5
73,360670009002,5
74,360670009003,5
75,360670010001,6
76,360670058003,9
77,360670035002,6
78,360670048001,10
79,360670018002,6
80,360670027003,2
81,360670009001,5
82,360670045001,7
83,360670015001,4
84,360670021013,3
85,360670049001,10
86,360670010002,6
87,360670010003,6
88,360670010004,5
89,360670014003,5
90,360670005012,4
91,360670017012,6
92,360670015002,4
93,360670016001,4
94,360670017011,6
95,360670017021,6
96,360670019001,6
97,360670019002,6
98,360670019003,6
99,360670019004,6
100,360670006001,4
101,360670056021,8
102,360670024002,4
103,360670035003,7
104,360670021012,3
105,360670019005,6
106,360670020001,2
107,360670020002,2
108,360670021011,3
109,360670061013,9
110,360670023002,4
111,360670024001,4
112,360670027001,2
113,360670027002,2
114,360670030001,11
115,360670038001,10
116,360670018001,6
117,360670008002,5
118,360670036011,7
119,360670032001,12
120,360670032002,12
121,360670035001,7
122,360670036012,7
123,360670038002,10
124,360670039001,10
125,360670039002,10
126,360670046002,8
127,360670043011,1
128,360670044001,7
129,360670045002,8
130,360670045003,8
131,360670046001,7
132,360670046003,8
133,360670046004,7
134,360670046005,7
135,360670048002,10
