localday,localhr,event,eventhr,GEOID,count
2017-03-13,0,1,0,360670002001,3
2017-03-13,0,1,0,360670002002,6
2017-03-13,0,1,0,360670003001,2
2017-03-13,0,1,0,360670004001,21
2017-03-13,0,1,0,360670004002,29
2017-03-13,0,1,0,360670004003,31
2017-03-13,0,1,0,360670005011,3
2017-03-13,0,1,0,360670005012,4
2017-03-13,0,1,0,360670006001,14
2017-03-13,0,1,0,360670006002,19
2017-03-13,0,1,0,360670006003,10
2017-03-13,0,1,0,360670007001,1
2017-03-13,0,1,0,360670009001,1
2017-03-13,0,1,0,360670009002,3
2017-03-13,0,1,0,360670010002,1
2017-03-13,0,1,0,360670016001,1
2017-03-13,0,1,0,360670016002,3
2017-03-13,0,1,0,360670018001,31
2017-03-13,0,1,0,360670018002,1
2017-03-13,0,1,0,360670018003,7
2017-03-13,0,1,0,360670020001,1
2017-03-13,0,1,0,360670021011,4
2017-03-13,0,1,0,360670021012,14
2017-03-13,0,1,0,360670023001,1
2017-03-13,0,1,0,360670023002,7
2017-03-13,0,1,0,360670024001,1
2017-03-13,0,1,0,360670027002,17
2017-03-13,0,1,0,360670027003,15
2017-03-13,0,1,0,360670029012,13
2017-03-13,0,1,0,360670032001,14
2017-03-13,0,1,0,360670032002,8
2017-03-13,0,1,0,360670034001,23
2017-03-13,0,1,0,360670035002,13
2017-03-13,0,1,0,360670035003,2
2017-03-13,0,1,0,360670036011,110
2017-03-13,0,1,0,360670036021,15
2017-03-13,0,1,0,360670038001,2
2017-03-13,0,1,0,360670038002,11
2017-03-13,0,1,0,360670039002,12
2017-03-13,0,1,0,360670039003,1
2017-03-13,0,1,0,360670040001,4
2017-03-13,0,1,0,360670042001,1
2017-03-13,0,1,0,360670043011,8
2017-03-13,0,1,0,360670043021,4
2017-03-13,0,1,0,360670043022,1
2017-03-13,0,1,0,360670043023,4
2017-03-13,0,1,0,360670044001,20
2017-03-13,0,1,0,360670045001,1
2017-03-13,0,1,0,360670045004,1
2017-03-13,0,1,0,360670048001,5
2017-03-13,0,1,0,360670049001,4
2017-03-13,0,1,0,360670049002,2
2017-03-13,0,1,0,360670050001,46
2017-03-13,0,1,0,360670050002,26
2017-03-13,0,1,0,360670051001,2
2017-03-13,0,1,0,360670051002,9
2017-03-13,0,1,0,360670051003,29
2017-03-13,0,1,0,360670052001,1
2017-03-13,0,1,0,360670052002,1
2017-03-13,0,1,0,360670053002,18
2017-03-13,0,1,0,360670057001,18
2017-03-13,0,1,0,360670057002,13
2017-03-13,1,1,1,360670003001,6
2017-03-13,1,1,1,360670004001,70
2017-03-13,1,1,1,360670004002,12
2017-03-13,1,1,1,360670004003,14
2017-03-13,1,1,1,360670009001,3
2017-03-13,1,1,1,360670009002,2
2017-03-13,1,1,1,360670009003,3
2017-03-13,1,1,1,360670010001,2
2017-03-13,1,1,1,360670010002,1
2017-03-13,1,1,1,360670016001,1
2017-03-13,1,1,1,360670016002,1
2017-03-13,1,1,1,360670017011,6
2017-03-13,1,1,1,360670017012,4
2017-03-13,1,1,1,360670017021,30
2017-03-13,1,1,1,360670017022,148
2017-03-13,1,1,1,360670018001,7
2017-03-13,1,1,1,360670018003,14
2017-03-13,1,1,1,360670019002,6
2017-03-13,1,1,1,360670019004,1
2017-03-13,1,1,1,360670019005,1
2017-03-13,1,1,1,360670021011,1
2017-03-13,1,1,1,360670021012,104
2017-03-13,1,1,1,360670021013,16
2017-03-13,1,1,1,360670023002,1
2017-03-13,1,1,1,360670024001,1
2017-03-13,1,1,1,360670024002,1
2017-03-13,1,1,1,360670027001,2
2017-03-13,1,1,1,360670027002,11
2017-03-13,1,1,1,360670027003,5
2017-03-13,1,1,1,360670029011,15
2017-03-13,1,1,1,360670029012,26
2017-03-13,1,1,1,360670030001,12
2017-03-13,1,1,1,360670032001,78
2017-03-13,1,1,1,360670032002,23
2017-03-13,1,1,1,360670034001,18
2017-03-13,1,1,1,360670035002,12
2017-03-13,1,1,1,360670036011,186
2017-03-13,1,1,1,360670036012,3
2017-03-13,1,1,1,360670036021,19
2017-03-13,1,1,1,360670038001,2
2017-03-13,1,1,1,360670038002,4
2017-03-13,1,1,1,360670039002,24
2017-03-13,1,1,1,360670039003,1
2017-03-13,1,1,1,360670040001,1
2017-03-13,1,1,1,360670042002,1
2017-03-13,1,1,1,360670043022,4
2017-03-13,1,1,1,360670044001,7
2017-03-13,1,1,1,360670044002,50
2017-03-13,1,1,1,360670045001,10
2017-03-13,1,1,1,360670045002,5
2017-03-13,1,1,1,360670045003,55
2017-03-13,1,1,1,360670045004,20
2017-03-13,1,1,1,360670046004,35
2017-03-13,1,1,1,360670046005,1
2017-03-13,1,1,1,360670048001,10
2017-03-13,1,1,1,360670048002,6
2017-03-13,1,1,1,360670049001,5
2017-03-13,1,1,1,360670049002,44
2017-03-13,1,1,1,360670050001,90
2017-03-13,1,1,1,360670050002,27
2017-03-13,1,1,1,360670051002,6
2017-03-13,1,1,1,360670051003,41
2017-03-13,1,1,1,360670052001,4
2017-03-13,1,1,1,360670052003,2
2017-03-13,1,1,1,360670054001,28
2017-03-13,1,1,1,360670054002,7
2017-03-13,1,1,1,360670055001,1
2017-03-13,1,1,1,360670055003,7
2017-03-13,1,1,1,360670056011,34
2017-03-13,1,1,1,360670059001,12
2017-03-13,1,1,1,360670060001,2
2017-03-13,1,1,1,360670061011,53
2017-03-13,1,1,1,360670061013,40
2017-03-13,1,1,1,360670132001,1
2017-03-13,2,1,2,360670001001,10
2017-03-13,2,1,2,360670002001,67
2017-03-13,2,1,2,360670002002,18
2017-03-13,2,1,2,360670003001,38
2017-03-13,2,1,2,360670003002,83
2017-03-13,2,1,2,360670004002,4
2017-03-13,2,1,2,360670005011,7
2017-03-13,2,1,2,360670005012,4
2017-03-13,2,1,2,360670006001,16
2017-03-13,2,1,2,360670006002,22
2017-03-13,2,1,2,360670006003,9
2017-03-13,2,1,2,360670007002,26
2017-03-13,2,1,2,360670008002,1
2017-03-13,2,1,2,360670009001,20
2017-03-13,2,1,2,360670009002,3
2017-03-13,2,1,2,360670009003,1
2017-03-13,2,1,2,360670010001,87
2017-03-13,2,1,2,360670010002,4
2017-03-13,2,1,2,360670014002,2
2017-03-13,2,1,2,360670014003,7
2017-03-13,2,1,2,360670016001,3
2017-03-13,2,1,2,360670017011,20
2017-03-13,2,1,2,360670017012,10
2017-03-13,2,1,2,360670017021,2
2017-03-13,2,1,2,360670017022,2
2017-03-13,2,1,2,360670018001,10
2017-03-13,2,1,2,360670018002,1
2017-03-13,2,1,2,360670018003,5
2017-03-13,2,1,2,360670019001,6
2017-03-13,2,1,2,360670019002,9
2017-03-13,2,1,2,360670019003,5
2017-03-13,2,1,2,360670019004,1
2017-03-13,2,1,2,360670019005,41
2017-03-13,2,1,2,360670021011,30
2017-03-13,2,1,2,360670021012,15
2017-03-13,2,1,2,360670021013,26
2017-03-13,2,1,2,360670023002,3
2017-03-13,2,1,2,360670024001,4
2017-03-13,2,1,2,360670024002,7
2017-03-13,2,1,2,360670029012,2
2017-03-13,2,1,2,360670030001,2
2017-03-13,2,1,2,360670032001,18
2017-03-13,2,1,2,360670032002,7
2017-03-13,2,1,2,360670034001,56
2017-03-13,2,1,2,360670035001,3
2017-03-13,2,1,2,360670035002,16
2017-03-13,2,1,2,360670035003,8
2017-03-13,2,1,2,360670036011,243
2017-03-13,2,1,2,360670036012,2
2017-03-13,2,1,2,360670036021,4
2017-03-13,2,1,2,360670036022,3
2017-03-13,2,1,2,360670038001,4
2017-03-13,2,1,2,360670039002,1
2017-03-13,2,1,2,360670039003,1
2017-03-13,2,1,2,360670040001,1
2017-03-13,2,1,2,360670043011,5
2017-03-13,2,1,2,360670043021,19
2017-03-13,2,1,2,360670043022,39
2017-03-13,2,1,2,360670043023,21
2017-03-13,2,1,2,360670044001,4
2017-03-13,2,1,2,360670045001,10
2017-03-13,2,1,2,360670045002,3
2017-03-13,2,1,2,360670045004,13
2017-03-13,2,1,2,360670046001,8
2017-03-13,2,1,2,360670046002,141
2017-03-13,2,1,2,360670046003,65
2017-03-13,2,1,2,360670046004,10
2017-03-13,2,1,2,360670046005,11
2017-03-13,2,1,2,360670049001,3
2017-03-13,2,1,2,360670049002,12
2017-03-13,2,1,2,360670050001,8
2017-03-13,2,1,2,360670051003,6
2017-03-13,2,1,2,360670054001,3
2017-03-13,2,1,2,360670054002,1
2017-03-13,2,1,2,360670054003,1
2017-03-13,2,1,2,360670055001,4
2017-03-13,2,1,2,360670059001,3
2017-03-13,2,1,2,360670059002,1
2017-03-13,2,1,2,360670061011,5
2017-03-13,2,1,2,360670061013,7
2017-03-13,3,1,3,360670009001,8
2017-03-13,3,1,3,360670009002,1
2017-03-13,3,1,3,360670009003,3
2017-03-13,3,1,3,360670010001,3
2017-03-13,3,1,3,360670010002,10
2017-03-13,3,1,3,360670010003,4
2017-03-13,3,1,3,360670010004,2
2017-03-13,3,1,3,360670014001,3
2017-03-13,3,1,3,360670014002,2
2017-03-13,3,1,3,360670016001,1
2017-03-13,3,1,3,360670017021,5
2017-03-13,3,1,3,360670017022,7
2017-03-13,3,1,3,360670018002,1
2017-03-13,3,1,3,360670018003,4
2017-03-13,3,1,3,360670019003,2
2017-03-13,3,1,3,360670023002,3
2017-03-13,3,1,3,360670034001,2
2017-03-13,3,1,3,360670035001,10
2017-03-13,3,1,3,360670035002,6
2017-03-13,3,1,3,360670035003,6
2017-03-13,3,1,3,360670036011,430
2017-03-13,3,1,3,360670045004,5
2017-03-13,3,1,3,360670046001,7
2017-03-13,3,1,3,360670046002,6
2017-03-13,3,1,3,360670046005,35
2017-03-13,4,1,4,360670017022,1
2017-03-13,4,1,4,360670036011,41
2017-03-13,5,1,5,360670010004,1
2017-03-13,5,1,5,360670017022,1
2017-03-13,5,1,5,360670018003,2
2017-03-13,5,1,5,360670019003,1
2017-03-13,5,1,5,360670019005,2
2017-03-13,5,1,5,360670036011,130
