geoid,NAME,B19013_001E,state,county,tract,block group,table
360670112322,"Block Group 2, Census Tract 112.32, Onondaga County, New York",54813,36,067,011232,2,b19013
360670115001,"Block Group 1, Census Tract 115, Onondaga County, New York",97206,36,067,011500,1,b19013
360670115003,"Block Group 3, Census Tract 115, Onondaga County, New York",124388,36,067,011500,3,b19013
360670115002,"Block Group 2, Census Tract 115, Onondaga County, New York",88026,36,067,011500,2,b19013
360670002002,"Block Group 2, Census Tract 2, Onondaga County, New York",34833,36,067,000200,2,b19013
360670002001,"Block Group 1, Census Tract 2, Onondaga County, New York",45906,36,067,000200,1,b19013
360670046001,"Block Group 1, Census Tract 46, Onondaga County, New York",-666666666,36,067,004600,1,b19013
360670046002,"Block Group 2, Census Tract 46, Onondaga County, New York",99667,36,067,004600,2,b19013
360670046003,"Block Group 3, Census Tract 46, Onondaga County, New York",88542,36,067,004600,3,b19013
360670046005,"Block Group 5, Census Tract 46, Onondaga County, New York",-666666666,36,067,004600,5,b19013
360670103212,"Block Group 2, Census Tract 103.21, Onondaga County, New York",118897,36,067,010321,2,b19013
360670103211,"Block Group 1, Census Tract 103.21, Onondaga County, New York",86058,36,067,010321,1,b19013
360670119004,"Block Group 4, Census Tract 119, Onondaga County, New York",80938,36,067,011900,4,b19013
360670119001,"Block Group 1, Census Tract 119, Onondaga County, New York",81042,36,067,011900,1,b19013
360670119003,"Block Group 3, Census Tract 119, Onondaga County, New York",66333,36,067,011900,3,b19013
360670126001,"Block Group 1, Census Tract 126, Onondaga County, New York",85391,36,067,012600,1,b19013
360670126003,"Block Group 3, Census Tract 126, Onondaga County, New York",55417,36,067,012600,3,b19013
360670134003,"Block Group 3, Census Tract 134, Onondaga County, New York",73478,36,067,013400,3,b19013
360670134001,"Block Group 1, Census Tract 134, Onondaga County, New York",63734,36,067,013400,1,b19013
360670138002,"Block Group 2, Census Tract 138, Onondaga County, New York",57273,36,067,013800,2,b19013
360670166003,"Block Group 3, Census Tract 166, Onondaga County, New York",89583,36,067,016600,3,b19013
360670166002,"Block Group 2, Census Tract 166, Onondaga County, New York",79702,36,067,016600,2,b19013
360670124002,"Block Group 2, Census Tract 124, Onondaga County, New York",73696,36,067,012400,2,b19013
360670124001,"Block Group 1, Census Tract 124, Onondaga County, New York",55536,36,067,012400,1,b19013
360670024002,"Block Group 2, Census Tract 24, Onondaga County, New York",37976,36,067,002400,2,b19013
360670034001,"Block Group 1, Census Tract 34, Onondaga County, New York",21563,36,067,003400,1,b19013
360670048002,"Block Group 2, Census Tract 48, Onondaga County, New York",93750,36,067,004800,2,b19013
360670053002,"Block Group 2, Census Tract 53, Onondaga County, New York",17176,36,067,005300,2,b19013
360670055001,"Block Group 1, Census Tract 55, Onondaga County, New York",53269,36,067,005500,1,b19013
360670055002,"Block Group 2, Census Tract 55, Onondaga County, New York",18675,36,067,005500,2,b19013
360670056011,"Block Group 1, Census Tract 56.01, Onondaga County, New York",85417,36,067,005601,1,b19013
360670143003,"Block Group 3, Census Tract 143, Onondaga County, New York",60962,36,067,014300,3,b19013
360670143002,"Block Group 2, Census Tract 143, Onondaga County, New York",21719,36,067,014300,2,b19013
360670147001,"Block Group 1, Census Tract 147, Onondaga County, New York",145147,36,067,014700,1,b19013
360670147004,"Block Group 4, Census Tract 147, Onondaga County, New York",96399,36,067,014700,4,b19013
360670147003,"Block Group 3, Census Tract 147, Onondaga County, New York",122431,36,067,014700,3,b19013
360670152021,"Block Group 1, Census Tract 152.02, Onondaga County, New York",163869,36,067,015202,1,b19013
360670152022,"Block Group 2, Census Tract 152.02, Onondaga County, New York",79034,36,067,015202,2,b19013
360670003002,"Block Group 2, Census Tract 3, Onondaga County, New York",46250,36,067,000300,2,b19013
360670006002,"Block Group 2, Census Tract 6, Onondaga County, New York",31161,36,067,000600,2,b19013
360670124004,"Block Group 4, Census Tract 124, Onondaga County, New York",82560,36,067,012400,4,b19013
360670111023,"Block Group 3, Census Tract 111.02, Onondaga County, New York",34943,36,067,011102,3,b19013
360670112014,"Block Group 4, Census Tract 112.01, Onondaga County, New York",53487,36,067,011201,4,b19013
360670144001,"Block Group 1, Census Tract 144, Onondaga County, New York",56611,36,067,014400,1,b19013
360670006003,"Block Group 3, Census Tract 6, Onondaga County, New York",22853,36,067,000600,3,b19013
360670017011,"Block Group 1, Census Tract 17.01, Onondaga County, New York",56250,36,067,001701,1,b19013
360670018003,"Block Group 3, Census Tract 18, Onondaga County, New York",49792,36,067,001800,3,b19013
360670061022,"Block Group 2, Census Tract 61.02, Onondaga County, New York",28438,36,067,006102,2,b19013
360670112012,"Block Group 2, Census Tract 112.01, Onondaga County, New York",63365,36,067,011201,2,b19013
360670112011,"Block Group 1, Census Tract 112.01, Onondaga County, New York",60363,36,067,011201,1,b19013
360670167001,"Block Group 1, Census Tract 167, Onondaga County, New York",83036,36,067,016700,1,b19013
360670167002,"Block Group 2, Census Tract 167, Onondaga County, New York",113452,36,067,016700,2,b19013
360670169011,"Block Group 1, Census Tract 169.01, Onondaga County, New York",74167,36,067,016901,1,b19013
360670169012,"Block Group 2, Census Tract 169.01, Onondaga County, New York",72946,36,067,016901,2,b19013
360670008002,"Block Group 2, Census Tract 8, Onondaga County, New York",21950,36,067,000800,2,b19013
360670008001,"Block Group 1, Census Tract 8, Onondaga County, New York",59047,36,067,000800,1,b19013
360670112411,"Block Group 1, Census Tract 112.41, Onondaga County, New York",118906,36,067,011241,1,b19013
360670112421,"Block Group 1, Census Tract 112.42, Onondaga County, New York",54902,36,067,011242,1,b19013
360670112423,"Block Group 3, Census Tract 112.42, Onondaga County, New York",83409,36,067,011242,3,b19013
360670125001,"Block Group 1, Census Tract 125, Onondaga County, New York",52500,36,067,012500,1,b19013
360670125003,"Block Group 3, Census Tract 125, Onondaga County, New York",72446,36,067,012500,3,b19013
360670151005,"Block Group 5, Census Tract 151, Onondaga County, New York",63750,36,067,015100,5,b19013
360670151003,"Block Group 3, Census Tract 151, Onondaga County, New York",74971,36,067,015100,3,b19013
360670131001,"Block Group 1, Census Tract 131, Onondaga County, New York",65000,36,067,013100,1,b19013
360670131003,"Block Group 3, Census Tract 131, Onondaga County, New York",85556,36,067,013100,3,b19013
360670139002,"Block Group 2, Census Tract 139, Onondaga County, New York",59176,36,067,013900,2,b19013
360670154001,"Block Group 1, Census Tract 154, Onondaga County, New York",49773,36,067,015400,1,b19013
360670154002,"Block Group 2, Census Tract 154, Onondaga County, New York",61942,36,067,015400,2,b19013
360670165024,"Block Group 4, Census Tract 165.02, Onondaga County, New York",115000,36,067,016502,4,b19013
360670165022,"Block Group 2, Census Tract 165.02, Onondaga County, New York",59063,36,067,016502,2,b19013
360670015001,"Block Group 1, Census Tract 15, Onondaga County, New York",43864,36,067,001500,1,b19013
360670146001,"Block Group 1, Census Tract 146, Onondaga County, New York",51385,36,067,014600,1,b19013
360670146004,"Block Group 4, Census Tract 146, Onondaga County, New York",103676,36,067,014600,4,b19013
360670146002,"Block Group 2, Census Tract 146, Onondaga County, New York",63036,36,067,014600,2,b19013
360670043023,"Block Group 3, Census Tract 43.02, Onondaga County, New York",12724,36,067,004302,3,b19013
360670043022,"Block Group 2, Census Tract 43.02, Onondaga County, New York",-666666666,36,067,004302,2,b19013
360670021011,"Block Group 1, Census Tract 21.01, Onondaga County, New York",37625,36,067,002101,1,b19013
360670021012,"Block Group 2, Census Tract 21.01, Onondaga County, New York",34853,36,067,002101,2,b19013
360670137013,"Block Group 3, Census Tract 137.01, Onondaga County, New York",45598,36,067,013701,3,b19013
360670137014,"Block Group 4, Census Tract 137.01, Onondaga County, New York",69250,36,067,013701,4,b19013
360670005011,"Block Group 1, Census Tract 5.01, Onondaga County, New York",33150,36,067,000501,1,b19013
360670005012,"Block Group 2, Census Tract 5.01, Onondaga County, New York",27464,36,067,000501,2,b19013
360670029012,"Block Group 2, Census Tract 29.01, Onondaga County, New York",62115,36,067,002901,2,b19013
360670156011,"Block Group 1, Census Tract 156.01, Onondaga County, New York",106607,36,067,015601,1,b19013
360670156013,"Block Group 3, Census Tract 156.01, Onondaga County, New York",85926,36,067,015601,3,b19013
360670151004,"Block Group 4, Census Tract 151, Onondaga County, New York",54333,36,067,015100,4,b19013
360670151001,"Block Group 1, Census Tract 151, Onondaga County, New York",124659,36,067,015100,1,b19013
360670169022,"Block Group 2, Census Tract 169.02, Onondaga County, New York",74861,36,067,016902,2,b19013
360670169021,"Block Group 1, Census Tract 169.02, Onondaga County, New York",73438,36,067,016902,1,b19013
360670152032,"Block Group 2, Census Tract 152.03, Onondaga County, New York",52667,36,067,015203,2,b19013
360670152031,"Block Group 1, Census Tract 152.03, Onondaga County, New York",132083,36,067,015203,1,b19013
360670142001,"Block Group 1, Census Tract 142, Onondaga County, New York",55523,36,067,014200,1,b19013
360670142002,"Block Group 2, Census Tract 142, Onondaga County, New York",37264,36,067,014200,2,b19013
360670144002,"Block Group 2, Census Tract 144, Onondaga County, New York",48042,36,067,014400,2,b19013
360670145002,"Block Group 2, Census Tract 145, Onondaga County, New York",46550,36,067,014500,2,b19013
360670146003,"Block Group 3, Census Tract 146, Onondaga County, New York",72500,36,067,014600,3,b19013
360670155002,"Block Group 2, Census Tract 155, Onondaga County, New York",83810,36,067,015500,2,b19013
360670155001,"Block Group 1, Census Tract 155, Onondaga County, New York",71290,36,067,015500,1,b19013
360670158002,"Block Group 2, Census Tract 158, Onondaga County, New York",62439,36,067,015800,2,b19013
360670158003,"Block Group 3, Census Tract 158, Onondaga County, New York",-666666666,36,067,015800,3,b19013
360670158001,"Block Group 1, Census Tract 158, Onondaga County, New York",73650,36,067,015800,1,b19013
360670160011,"Block Group 1, Census Tract 160.01, Onondaga County, New York",81184,36,067,016001,1,b19013
