geoid,NAME,B02001_001E,B02001_002E,state,county,tract,block group,table
360670112322,"Block Group 2, Census Tract 112.32, Onondaga County, New York",1282,1177,36,067,011232,2,b02001
360670115001,"Block Group 1, Census Tract 115, Onondaga County, New York",1904,1791,36,067,011500,1,b02001
360670115003,"Block Group 3, Census Tract 115, Onondaga County, New York",1752,1752,36,067,011500,3,b02001
360670115002,"Block Group 2, Census Tract 115, Onondaga County, New York",2167,2033,36,067,011500,2,b02001
360670002002,"Block Group 2, Census Tract 2, Onondaga County, New York",1434,913,36,067,000200,2,b02001
360670002001,"Block Group 1, Census Tract 2, Onondaga County, New York",2047,1037,36,067,000200,1,b02001
360670046001,"Block Group 1, Census Tract 46, Onondaga County, New York",1216,859,36,067,004600,1,b02001
360670046002,"Block Group 2, Census Tract 46, Onondaga County, New York",1131,895,36,067,004600,2,b02001
360670046003,"Block Group 3, Census Tract 46, Onondaga County, New York",932,848,36,067,004600,3,b02001
360670046005,"Block Group 5, Census Tract 46, Onondaga County, New York",537,385,36,067,004600,5,b02001
360670103212,"Block Group 2, Census Tract 103.21, Onondaga County, New York",1558,1458,36,067,010321,2,b02001
360670103211,"Block Group 1, Census Tract 103.21, Onondaga County, New York",1196,1133,36,067,010321,1,b02001
360670119004,"Block Group 4, Census Tract 119, Onondaga County, New York",679,673,36,067,011900,4,b02001
360670119001,"Block Group 1, Census Tract 119, Onondaga County, New York",983,968,36,067,011900,1,b02001
360670119003,"Block Group 3, Census Tract 119, Onondaga County, New York",782,772,36,067,011900,3,b02001
360670126001,"Block Group 1, Census Tract 126, Onondaga County, New York",684,684,36,067,012600,1,b02001
360670126003,"Block Group 3, Census Tract 126, Onondaga County, New York",1251,1061,36,067,012600,3,b02001
360670134003,"Block Group 3, Census Tract 134, Onondaga County, New York",1116,1057,36,067,013400,3,b02001
360670134001,"Block Group 1, Census Tract 134, Onondaga County, New York",1328,1304,36,067,013400,1,b02001
360670138002,"Block Group 2, Census Tract 138, Onondaga County, New York",867,829,36,067,013800,2,b02001
360670166003,"Block Group 3, Census Tract 166, Onondaga County, New York",2145,2088,36,067,016600,3,b02001
360670166002,"Block Group 2, Census Tract 166, Onondaga County, New York",1394,1378,36,067,016600,2,b02001
360670124002,"Block Group 2, Census Tract 124, Onondaga County, New York",820,778,36,067,012400,2,b02001
360670124001,"Block Group 1, Census Tract 124, Onondaga County, New York",1171,1110,36,067,012400,1,b02001
360670024002,"Block Group 2, Census Tract 24, Onondaga County, New York",775,586,36,067,002400,2,b02001
360670034001,"Block Group 1, Census Tract 34, Onondaga County, New York",1393,544,36,067,003400,1,b02001
360670048002,"Block Group 2, Census Tract 48, Onondaga County, New York",793,728,36,067,004800,2,b02001
360670053002,"Block Group 2, Census Tract 53, Onondaga County, New York",1368,168,36,067,005300,2,b02001
360670055001,"Block Group 1, Census Tract 55, Onondaga County, New York",673,218,36,067,005500,1,b02001
360670055002,"Block Group 2, Census Tract 55, Onondaga County, New York",1862,844,36,067,005500,2,b02001
360670056011,"Block Group 1, Census Tract 56.01, Onondaga County, New York",1599,1347,36,067,005601,1,b02001
360670143003,"Block Group 3, Census Tract 143, Onondaga County, New York",1012,980,36,067,014300,3,b02001
360670143002,"Block Group 2, Census Tract 143, Onondaga County, New York",730,720,36,067,014300,2,b02001
360670147001,"Block Group 1, Census Tract 147, Onondaga County, New York",1044,1038,36,067,014700,1,b02001
360670147004,"Block Group 4, Census Tract 147, Onondaga County, New York",1331,1006,36,067,014700,4,b02001
360670147003,"Block Group 3, Census Tract 147, Onondaga County, New York",840,737,36,067,014700,3,b02001
360670152021,"Block Group 1, Census Tract 152.02, Onondaga County, New York",2422,2040,36,067,015202,1,b02001
360670152022,"Block Group 2, Census Tract 152.02, Onondaga County, New York",2188,2057,36,067,015202,2,b02001
360670003002,"Block Group 2, Census Tract 3, Onondaga County, New York",758,308,36,067,000300,2,b02001
360670006002,"Block Group 2, Census Tract 6, Onondaga County, New York",1079,464,36,067,000600,2,b02001
360670124004,"Block Group 4, Census Tract 124, Onondaga County, New York",1062,1013,36,067,012400,4,b02001
360670111023,"Block Group 3, Census Tract 111.02, Onondaga County, New York",882,587,36,067,011102,3,b02001
360670112014,"Block Group 4, Census Tract 112.01, Onondaga County, New York",868,811,36,067,011201,4,b02001
360670144001,"Block Group 1, Census Tract 144, Onondaga County, New York",757,744,36,067,014400,1,b02001
360670006003,"Block Group 3, Census Tract 6, Onondaga County, New York",758,115,36,067,000600,3,b02001
360670017011,"Block Group 1, Census Tract 17.01, Onondaga County, New York",1307,715,36,067,001701,1,b02001
360670018003,"Block Group 3, Census Tract 18, Onondaga County, New York",1697,1282,36,067,001800,3,b02001
360670061022,"Block Group 2, Census Tract 61.02, Onondaga County, New York",1066,533,36,067,006102,2,b02001
360670112012,"Block Group 2, Census Tract 112.01, Onondaga County, New York",854,779,36,067,011201,2,b02001
360670112011,"Block Group 1, Census Tract 112.01, Onondaga County, New York",938,808,36,067,011201,1,b02001
360670167001,"Block Group 1, Census Tract 167, Onondaga County, New York",1306,1306,36,067,016700,1,b02001
360670167002,"Block Group 2, Census Tract 167, Onondaga County, New York",1138,1112,36,067,016700,2,b02001
360670169011,"Block Group 1, Census Tract 169.01, Onondaga County, New York",1397,1380,36,067,016901,1,b02001
360670169012,"Block Group 2, Census Tract 169.01, Onondaga County, New York",1295,1237,36,067,016901,2,b02001
360670008002,"Block Group 2, Census Tract 8, Onondaga County, New York",1433,379,36,067,000800,2,b02001
360670008001,"Block Group 1, Census Tract 8, Onondaga County, New York",1576,836,36,067,000800,1,b02001
360670112411,"Block Group 1, Census Tract 112.41, Onondaga County, New York",1019,914,36,067,011241,1,b02001
360670112421,"Block Group 1, Census Tract 112.42, Onondaga County, New York",529,528,36,067,011242,1,b02001
360670112423,"Block Group 3, Census Tract 112.42, Onondaga County, New York",1633,1042,36,067,011242,3,b02001
360670125001,"Block Group 1, Census Tract 125, Onondaga County, New York",766,719,36,067,012500,1,b02001
360670125003,"Block Group 3, Census Tract 125, Onondaga County, New York",1221,1097,36,067,012500,3,b02001
360670151005,"Block Group 5, Census Tract 151, Onondaga County, New York",1762,1289,36,067,015100,5,b02001
360670151003,"Block Group 3, Census Tract 151, Onondaga County, New York",1065,973,36,067,015100,3,b02001
360670131001,"Block Group 1, Census Tract 131, Onondaga County, New York",787,762,36,067,013100,1,b02001
360670131003,"Block Group 3, Census Tract 131, Onondaga County, New York",1253,1145,36,067,013100,3,b02001
360670139002,"Block Group 2, Census Tract 139, Onondaga County, New York",1300,1122,36,067,013900,2,b02001
360670154001,"Block Group 1, Census Tract 154, Onondaga County, New York",1163,1002,36,067,015400,1,b02001
360670154002,"Block Group 2, Census Tract 154, Onondaga County, New York",2027,1640,36,067,015400,2,b02001
360670165024,"Block Group 4, Census Tract 165.02, Onondaga County, New York",1135,1111,36,067,016502,4,b02001
360670165022,"Block Group 2, Census Tract 165.02, Onondaga County, New York",1226,1130,36,067,016502,2,b02001
360670015001,"Block Group 1, Census Tract 15, Onondaga County, New York",1443,741,36,067,001500,1,b02001
360670146001,"Block Group 1, Census Tract 146, Onondaga County, New York",2534,1464,36,067,014600,1,b02001
360670146004,"Block Group 4, Census Tract 146, Onondaga County, New York",898,778,36,067,014600,4,b02001
360670146002,"Block Group 2, Census Tract 146, Onondaga County, New York",688,574,36,067,014600,2,b02001
360670043023,"Block Group 3, Census Tract 43.02, Onondaga County, New York",786,507,36,067,004302,3,b02001
360670043022,"Block Group 2, Census Tract 43.02, Onondaga County, New York",5686,3842,36,067,004302,2,b02001
360670021011,"Block Group 1, Census Tract 21.01, Onondaga County, New York",276,199,36,067,002101,1,b02001
360670021012,"Block Group 2, Census Tract 21.01, Onondaga County, New York",689,499,36,067,002101,2,b02001
360670137013,"Block Group 3, Census Tract 137.01, Onondaga County, New York",863,824,36,067,013701,3,b02001
360670137014,"Block Group 4, Census Tract 137.01, Onondaga County, New York",1117,977,36,067,013701,4,b02001
360670005011,"Block Group 1, Census Tract 5.01, Onondaga County, New York",1363,569,36,067,000501,1,b02001
360670005012,"Block Group 2, Census Tract 5.01, Onondaga County, New York",1045,378,36,067,000501,2,b02001
360670029012,"Block Group 2, Census Tract 29.01, Onondaga County, New York",1212,1009,36,067,002901,2,b02001
360670156011,"Block Group 1, Census Tract 156.01, Onondaga County, New York",1410,1294,36,067,015601,1,b02001
360670156013,"Block Group 3, Census Tract 156.01, Onondaga County, New York",990,960,36,067,015601,3,b02001
360670151004,"Block Group 4, Census Tract 151, Onondaga County, New York",900,841,36,067,015100,4,b02001
360670151001,"Block Group 1, Census Tract 151, Onondaga County, New York",1320,1304,36,067,015100,1,b02001
360670169022,"Block Group 2, Census Tract 169.02, Onondaga County, New York",760,757,36,067,016902,2,b02001
360670169021,"Block Group 1, Census Tract 169.02, Onondaga County, New York",1426,1329,36,067,016902,1,b02001
360670152032,"Block Group 2, Census Tract 152.03, Onondaga County, New York",1666,1527,36,067,015203,2,b02001
360670152031,"Block Group 1, Census Tract 152.03, Onondaga County, New York",934,834,36,067,015203,1,b02001
360670142001,"Block Group 1, Census Tract 142, Onondaga County, New York",922,695,36,067,014200,1,b02001
360670142002,"Block Group 2, Census Tract 142, Onondaga County, New York",1168,1004,36,067,014200,2,b02001
360670144002,"Block Group 2, Census Tract 144, Onondaga County, New York",601,429,36,067,014400,2,b02001
360670145002,"Block Group 2, Census Tract 145, Onondaga County, New York",1382,1276,36,067,014500,2,b02001
360670146003,"Block Group 3, Census Tract 146, Onondaga County, New York",643,493,36,067,014600,3,b02001
360670155002,"Block Group 2, Census Tract 155, Onondaga County, New York",1246,1233,36,067,015500,2,b02001
360670155001,"Block Group 1, Census Tract 155, Onondaga County, New York",1550,1516,36,067,015500,1,b02001
360670158002,"Block Group 2, Census Tract 158, Onondaga County, New York",792,702,36,067,015800,2,b02001
360670158003,"Block Group 3, Census Tract 158, Onondaga County, New York",943,943,36,067,015800,3,b02001
360670158001,"Block Group 1, Census Tract 158, Onondaga County, New York",1825,1739,36,067,015800,1,b02001
360670160011,"Block Group 1, Census Tract 160.01, Onondaga County, New York",1347,1301,36,067,016001,1,b02001
360670160012,"Block Group 2, Census Tract 160.01, Onondaga County, New York",881,871,36,067,016001,2,b02001
360670161001,"Block Group 1, Census Tract 161, Onondaga County, New York",2657,2117,36,067,016100,1,b02001
360670164002,"Block Group 2, Census Tract 164, Onondaga County, New York",1367,1311,36,067,016400,2,b02001
360670164001,"Block Group 1, Census Tract 164, Onondaga County, New York",1122,1075,36,067,016400,1,b02001
360670164003,"Block Group 3, Census Tract 164, Onondaga County, New York",1584,1448,36,067,016400,3,b02001
360670009001,"Block Group 1, Census Tract 9, Onondaga County, New York",927,752,36,067,000900,1,b02001
360670009002,"Block Group 2, Census Tract 9, Onondaga County, New York",907,761,36,067,000900,2,b02001
360670020002,"Block Group 2, Census Tract 20, Onondaga County, New York",1214,1081,36,067,002000,2,b02001
360670020001,"Block Group 1, Census Tract 20, Onondaga County, New York",787,535,36,067,002000,1,b02001
360670030002,"Block Group 2, Census Tract 30, Onondaga County, New York",816,308,36,067,003000,2,b02001
360670044002,"Block Group 2, Census Tract 44, Onondaga County, New York",1236,993,36,067,004400,2,b02001
360670044001,"Block Group 1, Census Tract 44, Onondaga County, New York",457,365,36,067,004400,1,b02001
360670004002,"Block Group 2, Census Tract 4, Onondaga County, New York",1578,675,36,067,000400,2,b02001
360670007001,"Block Group 1, Census Tract 7, Onondaga County, New York",803,505,36,067,000700,1,b02001
360670007002,"Block Group 2, Census Tract 7, Onondaga County, New York",818,277,36,067,000700,2,b02001
360670010004,"Block Group 4, Census Tract 10, Onondaga County, New York",627,349,36,067,001000,4,b02001
360670010002,"Block Group 2, Census Tract 10, Onondaga County, New York",1322,812,36,067,001000,2,b02001
360670152012,"Block Group 2, Census Tract 152.01, Onondaga County, New York",1521,1259,36,067,015201,2,b02001
360670152011,"Block Group 1, Census Tract 152.01, Onondaga County, New York",1570,1495,36,067,015201,1,b02001
360670107001,"Block Group 1, Census Tract 107, Onondaga County, New York",712,567,36,067,010700,1,b02001
360670107002,"Block Group 2, Census Tract 107, Onondaga County, New York",1239,1101,36,067,010700,2,b02001
360670120002,"Block Group 2, Census Tract 120, Onondaga County, New York",1846,1682,36,067,012000,2,b02001
360670120004,"Block Group 4, Census Tract 120, Onondaga County, New York",1607,1480,36,067,012000,4,b02001
360670120003,"Block Group 3, Census Tract 120, Onondaga County, New York",938,897,36,067,012000,3,b02001
360670132002,"Block Group 2, Census Tract 132, Onondaga County, New York",1495,1452,36,067,013200,2,b02001
360670151002,"Block Group 2, Census Tract 151, Onondaga County, New York",583,569,36,067,015100,2,b02001
360670056021,"Block Group 1, Census Tract 56.02, Onondaga County, New York",3950,2371,36,067,005602,1,b02001
360670168012,"Block Group 2, Census Tract 168.01, Onondaga County, New York",992,971,36,067,016801,2,b02001
360670014002,"Block Group 2, Census Tract 14, Onondaga County, New York",1524,334,36,067,001400,2,b02001
360670139001,"Block Group 1, Census Tract 139, Onondaga County, New York",1294,1166,36,067,013900,1,b02001
360670052002,"Block Group 2, Census Tract 52, Onondaga County, New York",602,84,36,067,005200,2,b02001
360670052003,"Block Group 3, Census Tract 52, Onondaga County, New York",980,225,36,067,005200,3,b02001
360670061032,"Block Group 2, Census Tract 61.03, Onondaga County, New York",707,494,36,067,006103,2,b02001
360670061031,"Block Group 1, Census Tract 61.03, Onondaga County, New York",1923,1523,36,067,006103,1,b02001
360670102002,"Block Group 2, Census Tract 102, Onondaga County, New York",1501,1457,36,067,010200,2,b02001
360670102001,"Block Group 1, Census Tract 102, Onondaga County, New York",3204,3074,36,067,010200,1,b02001
360670103015,"Block Group 5, Census Tract 103.01, Onondaga County, New York",1503,1394,36,067,010301,5,b02001
360670027003,"Block Group 3, Census Tract 27, Onondaga County, New York",584,508,36,067,002700,3,b02001
360670027002,"Block Group 2, Census Tract 27, Onondaga County, New York",669,516,36,067,002700,2,b02001
360670036012,"Block Group 2, Census Tract 36.01, Onondaga County, New York",1358,308,36,067,003601,2,b02001
360670110211,"Block Group 1, Census Tract 110.21, Onondaga County, New York",1780,1534,36,067,011021,1,b02001
360670054002,"Block Group 2, Census Tract 54, Onondaga County, New York",551,57,36,067,005400,2,b02001
360670054003,"Block Group 3, Census Tract 54, Onondaga County, New York",576,175,36,067,005400,3,b02001
