geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670112322,"Block Group 2, Census Tract 112.32, Onondaga County, New York",594,594,0,36,067,011232,2,b25002
360670115001,"Block Group 1, Census Tract 115, Onondaga County, New York",805,762,43,36,067,011500,1,b25002
360670115003,"Block Group 3, Census Tract 115, Onondaga County, New York",586,561,25,36,067,011500,3,b25002
360670115002,"Block Group 2, Census Tract 115, Onondaga County, New York",967,856,111,36,067,011500,2,b25002
360670002002,"Block Group 2, Census Tract 2, Onondaga County, New York",821,568,253,36,067,000200,2,b25002
360670002001,"Block Group 1, Census Tract 2, Onondaga County, New York",892,785,107,36,067,000200,1,b25002
360670046001,"Block Group 1, Census Tract 46, Onondaga County, New York",409,271,138,36,067,004600,1,b25002
360670046002,"Block Group 2, Census Tract 46, Onondaga County, New York",518,518,0,36,067,004600,2,b25002
360670046003,"Block Group 3, Census Tract 46, Onondaga County, New York",610,503,107,36,067,004600,3,b25002
360670046005,"Block Group 5, Census Tract 46, Onondaga County, New York",284,202,82,36,067,004600,5,b25002
360670103212,"Block Group 2, Census Tract 103.21, Onondaga County, New York",563,541,22,36,067,010321,2,b25002
360670103211,"Block Group 1, Census Tract 103.21, Onondaga County, New York",448,433,15,36,067,010321,1,b25002
360670119004,"Block Group 4, Census Tract 119, Onondaga County, New York",261,234,27,36,067,011900,4,b25002
360670119001,"Block Group 1, Census Tract 119, Onondaga County, New York",395,387,8,36,067,011900,1,b25002
360670119003,"Block Group 3, Census Tract 119, Onondaga County, New York",367,292,75,36,067,011900,3,b25002
360670126001,"Block Group 1, Census Tract 126, Onondaga County, New York",275,275,0,36,067,012600,1,b25002
360670126003,"Block Group 3, Census Tract 126, Onondaga County, New York",640,563,77,36,067,012600,3,b25002
360670134003,"Block Group 3, Census Tract 134, Onondaga County, New York",512,512,0,36,067,013400,3,b25002
360670134001,"Block Group 1, Census Tract 134, Onondaga County, New York",535,535,0,36,067,013400,1,b25002
360670138002,"Block Group 2, Census Tract 138, Onondaga County, New York",395,366,29,36,067,013800,2,b25002
360670166003,"Block Group 3, Census Tract 166, Onondaga County, New York",1067,955,112,36,067,016600,3,b25002
360670166002,"Block Group 2, Census Tract 166, Onondaga County, New York",607,563,44,36,067,016600,2,b25002
360670124002,"Block Group 2, Census Tract 124, Onondaga County, New York",328,328,0,36,067,012400,2,b25002
360670124001,"Block Group 1, Census Tract 124, Onondaga County, New York",654,577,77,36,067,012400,1,b25002
360670024002,"Block Group 2, Census Tract 24, Onondaga County, New York",430,360,70,36,067,002400,2,b25002
360670034001,"Block Group 1, Census Tract 34, Onondaga County, New York",977,672,305,36,067,003400,1,b25002
360670048002,"Block Group 2, Census Tract 48, Onondaga County, New York",415,387,28,36,067,004800,2,b25002
360670053002,"Block Group 2, Census Tract 53, Onondaga County, New York",427,331,96,36,067,005300,2,b25002
360670055001,"Block Group 1, Census Tract 55, Onondaga County, New York",389,320,69,36,067,005500,1,b25002
360670055002,"Block Group 2, Census Tract 55, Onondaga County, New York",940,881,59,36,067,005500,2,b25002
360670056011,"Block Group 1, Census Tract 56.01, Onondaga County, New York",779,694,85,36,067,005601,1,b25002
360670143003,"Block Group 3, Census Tract 143, Onondaga County, New York",519,416,103,36,067,014300,3,b25002
360670143002,"Block Group 2, Census Tract 143, Onondaga County, New York",426,401,25,36,067,014300,2,b25002
360670147001,"Block Group 1, Census Tract 147, Onondaga County, New York",384,340,44,36,067,014700,1,b25002
360670147004,"Block Group 4, Census Tract 147, Onondaga County, New York",605,563,42,36,067,014700,4,b25002
360670147003,"Block Group 3, Census Tract 147, Onondaga County, New York",397,381,16,36,067,014700,3,b25002
360670152021,"Block Group 1, Census Tract 152.02, Onondaga County, New York",827,793,34,36,067,015202,1,b25002
360670152022,"Block Group 2, Census Tract 152.02, Onondaga County, New York",930,873,57,36,067,015202,2,b25002
360670003002,"Block Group 2, Census Tract 3, Onondaga County, New York",383,311,72,36,067,000300,2,b25002
360670006002,"Block Group 2, Census Tract 6, Onondaga County, New York",523,404,119,36,067,000600,2,b25002
360670124004,"Block Group 4, Census Tract 124, Onondaga County, New York",397,397,0,36,067,012400,4,b25002
360670111023,"Block Group 3, Census Tract 111.02, Onondaga County, New York",614,427,187,36,067,011102,3,b25002
360670112014,"Block Group 4, Census Tract 112.01, Onondaga County, New York",496,449,47,36,067,011201,4,b25002
360670144001,"Block Group 1, Census Tract 144, Onondaga County, New York",330,330,0,36,067,014400,1,b25002
360670006003,"Block Group 3, Census Tract 6, Onondaga County, New York",472,313,159,36,067,000600,3,b25002
360670017011,"Block Group 1, Census Tract 17.01, Onondaga County, New York",634,510,124,36,067,001701,1,b25002
360670018003,"Block Group 3, Census Tract 18, Onondaga County, New York",820,820,0,36,067,001800,3,b25002
