GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District
360670001001,6.924732717,27.44149271,0.252345337,0.009459302,1.919699799,0.492749037,1.472201165,2.491652667,0.090798729,740.0,646.0,68667.0,0.2095,0.7523,3
360670002001,2.814114289,6.933595174,0.405866541,0.120584731,0.178973423,67.37577535,2.553522885,0.110894872,0.015993849,2047.0,892.0,45906.0,0.4934,0.88,5
360670002002,1.729800623,4.193004648,0.412544409,0.057829499,0.110795066,52.19501251,2.011153871,0,0,1434.0,821.0,34833.0,0.3633,0.6918,4
360670003001,0.696710169,2.211266746,0.315072874,0.05883627,0.07061193,83.32341334,0.98036786,0.055268325,0.024993966,699.0,346.0,69831.0,0.2589,0.9046,5
360670003002,0.81177332,2.502347237,0.324404746,0.049120517,0.086276196,56.93403182,1.905753564,0.426212458,0.170325066,758.0,383.0,46250.0,0.5937,0.812,5
360670004001,0.888293264,5.196403876,0.170943846,0.134839107,0.301262392,44.75802832,2.481208082,0.084510852,0.016263334,1326.0,792.0,53214.0,0.1259,0.8561,5
360670004002,1.36002655,2.956354254,0.460035041,0.053364724,0.094192201,56.65514105,1.618505879,0.073666386,0.024917983,1578.0,452.0,51125.0,0.5722,1.0,5
360670004003,0.468651744,2.157339351,0.217235987,0.068297164,0.081305043,84.00114106,1.848514951,0,0,1235.0,487.0,72625.0,0.2713,0.9363,5
360670005011,2.877085661,5.236667351,0.549411576,0.029356402,0.082336144,35.65433156,2.234335092,0.049556909,0.009463444,1363.0,580.0,33150.0,0.5825,0.7466,3
360670005012,1.644142713,3.173366482,0.518106787,0.013732267,0.064801012,21.19143885,1.965492604,0,0,1045.0,589.0,27464.0,0.6383,0.7725,4
360670006001,0.710962675,2.040732956,0.348385943,0.046013686,0.0703043,65.4493204,3.443532803,0.156405862,0.076642004,1296.0,684.0,26188.0,0.3426,0.9079,4
360670006002,0.500005326,2.027272331,0.246639446,0.036039253,0.045279311,79.59320072,2.803207626,0.012195099,0.006015521,1079.0,523.0,31161.0,0.57,0.7725,4
360670006003,0.86784485,1.637260928,0.530058975,0.027361177,0.047868227,57.15937041,2.988402381,0,0,758.0,472.0,22853.0,0.8483,0.6631,4
360670007001,0.43244349,1.680124348,0.257387788,0.037665816,0.041178493,91.46963248,2.314659523,0.025634094,0.01525726,803.0,380.0,27969.0,0.3711,0.75,5
360670007002,0.16473625,2.201887571,0.074815922,0.035382735,0.042676741,82.90870873,3.969981003,0.126386154,0.057399004,818.0,363.0,36759.0,0.6614,0.8815,5
360670008001,0.667056297,3.558069511,0.187477028,0.073016936,0.079760857,91.54482391,2.501764664,0.076780329,0.02157921,1576.0,608.0,59047.0,0.4695,0.903,5
360670008002,0.509112009,3.676773948,0.138467041,0.053457738,0.123687655,43.21994614,2.556625158,0.183769077,0.049981065,1433.0,606.0,21950.0,0.7355,0.7442,5
360670009001,0.544906371,1.910304276,0.285245852,0.070940746,0.073437523,96.60013466,0.638736617,0,0,927.0,444.0,41618.0,0.1888,0.8288,5
360670009002,1.977036421,5.039485294,0.392309196,0.156148026,0.180956621,86.29030821,1.52824778,0.116839382,0.023184785,907.0,442.0,79875.0,0.161,0.9389,5
360670009003,0.514996323,3.508237434,0.146796314,0.096282231,0.123406882,78.02014743,0.814710447,0,0,1351.0,735.0,65037.0,0.1887,0.8803,5
360670010001,0.41791316,1.691103324,0.247124557,0.044245725,0.118396462,37.37081694,2.286386111,0.174276516,0.103054919,693.0,482.0,32300.0,0.2266,0.7842,6
360670010002,0.404880782,3.250926651,0.124543192,0.071933455,0.090077807,79.85702246,2.353385597,0,0,1322.0,698.0,38194.0,0.3858,0.8438,6
360670010003,0,1.618955193,0,0.052913463,0.081019185,65.30979424,2.612814882,0.131757261,0.081384131,1491.0,656.0,33718.0,0.3266,0.9436,6
360670010004,0.404989671,2.295835745,0.176401849,0.008661853,0.084471165,10.2542132,1.214733082,0.218528754,0.095184838,627.0,542.0,22600.0,0.4434,0.8081,5
360670014001,0.724818194,1.528051571,0.474341447,0.033697153,0.052403862,64.30280528,2.00690557,0,0,977.0,370.0,25724.0,0.7769,0.6514,5
360670014002,0.612646057,1.297962149,0.472006104,0.0275792,0.040297923,68.43826558,2.793677446,0.097866938,0.075400456,1524.0,594.0,19429.0,0.7808,0.7576,5
360670014003,0.397851118,1.298099167,0.306487462,0.022564236,0.024529587,91.98783587,3.788214522,0,0,598.0,244.0,32639.0,0.6823,0.6598,5
360670015001,0.586462641,3.437582556,0.170603216,0.066354048,0.101899316,65.11726601,3.350962719,0.070123883,0.020399185,1443.0,692.0,43864.0,0.4865,0.7254,4
360670015002,0.817165047,1.567039202,0.521470711,0.03251801,0.043843017,74.16919052,3.361541037,0,0,1334.0,427.0,38333.0,0.596,0.8009,4
360670016001,1.054382691,2.162049905,0.487677314,0.011431201,0.116472035,9.814545212,3.016214473,0,0,1917.0,1039.0,20379.0,0.2551,0.8999,4
360670016002,1.140592397,2.1194726,0.538149159,0.005631657,0.049108227,11.46784766,2.531209015,0,0,1532.0,1144.0,31094.0,0.4902,0.84,4
360670017011,0.642547337,3.138188748,0.204751017,0.075522841,0.093513197,80.76169332,3.949998797,0.105762024,0.033701613,1307.0,634.0,56250.0,0.4529,0.8044,6
360670017012,0.776484768,4.25426674,0.18251906,0.059366274,0.13249578,44.80616164,4.386148399,0.107113155,0.025177818,882.0,543.0,50057.0,0.4297,0.7532,6
360670017021,0.445206786,2.382565615,0.186860241,0.063127506,0.069856666,90.36718981,1.361629393,0,0,844.0,430.0,74775.0,0.5427,0.8535,6
360670017022,0.971236778,5.022708571,0.193369128,0.100153884,0.230086233,43.52884691,2.72801828,0.949321818,0.189005953,1771.0,826.0,42647.0,0.2547,0.8644,6
360670018001,0.18477357,1.671027138,0.110574847,0.037876253,0.050280852,75.32937803,1.969297891,0,0,761.0,438.0,30357.0,0.2957,0.9361,6
360670018002,0,1.527769038,0,0.044488161,0.045245574,98.32599679,1.349851108,0,0,590.0,214.0,50357.0,0.1678,1.0,6
360670018003,0.897301705,4.399359312,0.203961905,0.109395555,0.15267804,71.65113958,2.828827711,0.134930872,0.030670573,1697.0,820.0,49792.0,0.2445,1.0,6
360670019001,0.6710721,2.646293401,0.253589454,0.061504369,0.074833998,82.18773629,4.206676055,0.204019272,0.07709624,794.0,374.0,34469.0,0.4811,0.9813,6
360670019002,1.264933173,4.659690535,0.271462914,0.051977836,0.097211398,53.46887004,4.521845427,0.045364778,0.009735577,635.0,389.0,42301.0,0.148,0.8149,6
360670019003,0.524731315,3.221600832,0.16287906,0.070794251,0.08419732,84.08135931,3.838140053,0,0,1105.0,521.0,48594.0,0.2226,0.9194,6
360670019004,0.156888098,2.649381081,0.059216886,0.076226999,0.077050935,98.93066132,2.035637719,0,0,973.0,505.0,70156.0,0.0113,1.0,6
