geoid,pop,units,med_inc,shr_poc,shr_occ
360670001001,740.0,646.0,68667.0,0.2095,0.7523
360670002001,2047.0,892.0,45906.0,0.4934,0.88
360670002002,1434.0,821.0,34833.0,0.3633,0.6918
360670003001,699.0,346.0,69831.0,0.2589,0.9046
360670003002,758.0,383.0,46250.0,0.5937,0.812
360670004001,1326.0,792.0,53214.0,0.1259,0.8561
360670004002,1578.0,452.0,51125.0,0.5722,1.0
360670004003,1235.0,487.0,72625.0,0.2713,0.9363
360670005011,1363.0,580.0,33150.0,0.5825,0.7466
360670005012,1045.0,589.0,27464.0,0.6383,0.7725
360670006001,1296.0,684.0,26188.0,0.3426,0.9079
360670006002,1079.0,523.0,31161.0,0.57,0.7725
360670006003,758.0,472.0,22853.0,0.8483,0.6631
360670007001,803.0,380.0,27969.0,0.3711,0.75
360670007002,818.0,363.0,36759.0,0.6614,0.8815
360670008001,1576.0,608.0,59047.0,0.4695,0.903
360670008002,1433.0,606.0,21950.0,0.7355,0.7442
360670009001,927.0,444.0,41618.0,0.1888,0.8288
360670009002,907.0,442.0,79875.0,0.161,0.9389
360670009003,1351.0,735.0,65037.0,0.1887,0.8803
360670010001,693.0,482.0,32300.0,0.2266,0.7842
360670010002,1322.0,698.0,38194.0,0.3858,0.8438
360670010003,1491.0,656.0,33718.0,0.3266,0.9436
360670010004,627.0,542.0,22600.0,0.4434,0.8081
360670014001,977.0,370.0,25724.0,0.7769,0.6514
360670014002,1524.0,594.0,19429.0,0.7808,0.7576
360670014003,598.0,244.0,32639.0,0.6823,0.6598
360670015001,1443.0,692.0,43864.0,0.4865,0.7254
360670015002,1334.0,427.0,38333.0,0.596,0.8009
360670016001,1917.0,1039.0,20379.0,0.2551,0.8999
360670016002,1532.0,1144.0,31094.0,0.4902,0.84
360670017011,1307.0,634.0,56250.0,0.4529,0.8044
360670017012,882.0,543.0,50057.0,0.4297,0.7532
360670017021,844.0,430.0,74775.0,0.5427,0.8535
360670017022,1771.0,826.0,42647.0,0.2547,0.8644
360670018001,761.0,438.0,30357.0,0.2957,0.9361
360670018002,590.0,214.0,50357.0,0.1678,1.0
360670018003,1697.0,820.0,49792.0,0.2445,1.0
360670019001,794.0,374.0,34469.0,0.4811,0.9813
360670019002,635.0,389.0,42301.0,0.148,0.8149
360670019003,1105.0,521.0,48594.0,0.2226,0.9194
360670019004,973.0,505.0,70156.0,0.0113,1.0
360670019005,563.0,324.0,83036.0,0.071,0.9321
360670020001,787.0,445.0,25278.0,0.3202,0.791
360670020002,1214.0,668.0,35759.0,0.1096,0.8488
360670021011,276.0,285.0,37625.0,0.279,0.6421
360670021012,689.0,540.0,34853.0,0.2758,0.7593
360670021013,1581.0,669.0,27500.0,0.241,0.7593
360670023001,627.0,407.0,27500.0,0.7257,0.629
360670023002,882.0,757.0,13770.0,0.4785,0.7107
360670024001,1251.0,572.0,23688.0,0.4852,0.8374
360670024002,775.0,430.0,37976.0,0.2439,0.8372
360670027001,613.0,394.0,39583.0,0.3458,0.802
360670027002,669.0,365.0,55446.0,0.2287,0.8986
360670027003,584.0,333.0,48510.0,0.1301,0.8198
360670029011,1659.0,911.0,71250.0,0.1338,0.8847
360670029012,1212.0,637.0,62115.0,0.1675,0.8414
360670030001,889.0,413.0,15893.0,0.5152,0.7797
360670030002,816.0,451.0,12378.0,0.6225,0.8315
360670032001,1437.0,1126.0,44545.0,0.3424,0.8757
