GEOID,orig_shr_poc,d25,fit,res,shr_poc,counter,diff
"360670001001",.2095,2,5.154776,-3.154776,.47264173,7.241368,2.086592
"360670002001",.4934,9,8.276851,.7231493,.47264173,8.32063,.0437794
"360670002002",.3633,2,6.696363,-4.696363,.47264173,7.336533,.6401696
"360670003001",.2589,5,9.591024,-4.591024,.47264173,11.26948,1.678458
"360670003002",.5937,8,7.831628,.1683717,.47264173,7.09363,-.737998
"360670004001",.1259,15,7.541813,7.458187,.47264173,10.33186,2.790044
"360670004002",.5722,8,9.319812,-1.319812,.47264173,9.083568,-.2362442
"360670004003",.2713,13,8.71262,4.28738,.47264173,10.34772,1.635101
"360670005011",.5825,10,4.937668,5.062332,.47264173,3.915457,-1.02221
"360670005012",.6383,14,5.960828,8.039172,.47264173,4.350736,-1.610092
"360670006001",.3426,8,6.80731,1.19269,.47264173,7.610822,.8035121
"360670006002",.57,7,10.84031,-3.84031,.47264173,9.866083,-.974227
"360670006003",.8483,10,7.615819,2.384181,.47264173,4.663237,-2.952582
"360670007001",.3711,15,10.76944,4.230556,.47264173,11.31554,.5460997
"360670007002",.6614,14,12.37332,1.62668,.47264173,10.69082,-1.6825
"360670008001",.4695,12,12.06471,-.0647087,.47264173,12.43677,.3720646
"360670008002",.7355,23,12.75765,10.24235,.47264173,10.78686,-1.970787
"360670009001",.1888,5,11.8255,-6.825497,.47264173,14.18539,2.359895
"360670009002",.161,7,9.655468,-2.655468,.47264173,12.149,2.493537
"360670009003",.1887,5,11.64041,-6.640407,.47264173,14.11636,2.475952
"360670010001",.2266,-1,5.560162,-6.560162,.47264173,7.600695,2.040533
"360670010002",.3858,4,11.28208,-7.282083,.47264173,12.43806,1.155977
"360670010003",.3266,2,9.920106,-7.920106,.47264173,11.16585,1.245747
"360670010004",.4434,2,10.91768,-8.917682,.47264173,11.83088,.9132023
"360670014001",.7769,17,10.69485,6.305155,.47264173,7.813024,-2.881821
"360670014002",.7808,17,8.517744,8.482256,.47264173,5.780591,-2.737153
"360670014003",.6823,13,10.09107,2.908931,.47264173,7.996573,-2.094496
"360670015001",.4865,12,8.791802,3.208198,.47264173,8.626239,-.1655636
"360670015002",.596,11,6.354355,4.645645,.47264173,5.000132,-1.354223
"360670016001",.2551,4,1.715146,2.284854,.47264173,3.507021,1.791875
"360670016002",.4902,12,2.318214,9.681786,.47264173,2.326004,.0077899
"360670017011",.4529,7,8.512387,-1.512387,.47264173,9.16392,.6515331
"360670017012",.4297,3,5.241337,-2.241337,.47264173,5.586837,.3455
"360670017021",.5427,2,15.21497,-13.21497,.47264173,15.60126,.3862877
"360670017022",.2547,-1,6.65695,-7.65695,.47264173,8.245552,1.588602
"360670018001",.2957,7,12.59215,-5.592146,.47264173,14.55565,1.963505
"360670018002",.1678,17,14.37049,2.629515,.47264173,17.31218,2.94169
"360670018003",.2445,-1,9.130282,-10.13028,.47264173,11.37385,2.243571
"360670019001",.4811,7,6.901649,.0983515,.47264173,7.559762,.658114
"360670019002",.148,3,2.169985,.8300149,.47264173,4.716538,2.546553
"360670019003",.2226,6,7.478602,-1.478602,.47264173,9.917851,2.43925
"360670019004",.0113,12,11.14844,.8515606,.47264173,15.12808,3.97964
"360670019005",.071,4,8.912289,-4.912289,.47264173,12.42087,3.508582
"360670020001",.3202,7,5.549273,1.450727,.47264173,7.493562,1.944289
"360670020002",.1096,-1,5.775268,-6.775268,.47264173,8.470345,2.695076
"360670021011",.279,3,4.250622,-1.250622,.47264173,6.224902,1.97428
"360670021012",.2758,0,6.324456,-6.324456,.47264173,8.260563,1.936107
"360670021013",.241,4,7.249774,-3.249774,.47264173,9.360541,2.110767
"360670023001",.7257,5,6.310005,-1.310005,.47264173,4.21038,-2.099625
"360670023002",.4785,4,2.156743,1.843257,.47264173,2.073912,-.0828309
"360670024001",.4852,8,5.425329,2.574671,.47264173,5.498072,.0727434
"360670024002",.2439,14,3.008809,10.99119,.47264173,4.697774,1.688966
"360670027001",.3458,-2,4.421909,-6.421909,.47264173,5.701364,1.279455
"360670027002",.2287,5,4.04463,.9553704,.47264173,6.412406,2.367777
"360670027003",.1301,8,6.441695,1.558305,.47264173,9.278977,2.837282
"360670029011",.1338,11,2.069175,8.930824,.47264173,4.882267,2.813092
"360670029012",.1675,2,3.484047,-1.484047,.47264173,6.469456,2.985408
"360670030001",.5152,0,6.056439,-6.056439,.47264173,6.082269,.0258293
"360670030002",.6225,14,12.60601,1.393987,.47264173,11.58237,-1.02364
"360670032001",.3424,3,3.68085,-.6808503,.47264173,4.51152,.8306701
"360670032002",.4949,4,4.172421,-.172421,.47264173,3.650432,-.5219893
"360670034001",.6095,3,5.057285,-2.057285,.47264173,4.000769,-1.056516
"360670035001",.3401,5,8.468421,-3.468421,.47264173,9.451807,.983386
"360670035002",.7881,5,6.762557,-1.762557,.47264173,4.56073,-2.201827
"360670035003",.6367,2,4.080298,-2.080298,.47264173,2.79382,-1.286478
"360670036012",.7732,7,11.19687,-4.196874,.47264173,8.998185,-2.198689
"360670036021",.5124,2,1.730394,.2696065,.47264173,1.649085,-.081309
"360670036022",.6592,7,12.03415,-5.034154,.47264173,10.61341,-1.420746
"360670038001",.6799,13,12.81464,.1853638,.47264173,11.28727,-1.527368
"360670038002",.2973,5,2.5337,2.4663,.47264173,3.777532,1.243832
"360670039001",.818,14,14.08504,-.0850401,.47264173,11.38354,-2.701497
"360670039002",.5905,5,10.07994,-5.079945,.47264173,8.71946,-1.360484
"360670039003",.7147,16,16.05344,-.0534401,.47264173,13.47764,-2.575803
"360670040001",.6172,2,9.214237,-7.214237,.47264173,7.946279,-1.267959
"360670042001",.8811,19,12.12915,6.870849,.47264173,9.057551,-3.0716
"360670042002",.8065,17,13.4178,3.582202,.47264173,10.0278,-3.389994
"360670043011",.5446,-1,3.796601,-4.7966,.47264173,2.696725,-1.099875
"360670043021",.3388,-3,-2.554085,-.4459155,.47264173,-1.854574,.6995106
"360670043023",.355,-2,-1.406752,-.593248,.47264173,-.6439329,.7628191
"360670044002",.1966,12,6.060916,5.939084,.47264173,8.182914,2.121998
"360670045001",.3768,21,9.465632,11.53437,.47264173,10.76248,1.296845
"360670045002",.1957,20,8.692261,11.30774,.47264173,11.43041,2.73815
"360670045003",.146,21,5.673628,15.32637,.47264173,8.580504,2.906877
"360670045004",.164,0,8.280049,-8.280049,.47264173,10.86912,2.589069
"360670046002",.2087,1,.6961327,.3038673,.47264173,2.807972,2.11184
"360670046003",.0901,5,4.473867,.5261326,.47264173,7.648124,3.174257
"360670046004",.2656,-1,6.14783,-7.14783,.47264173,7.970956,1.823126
"360670048001",.2834,1,2.391166,-1.391166,.47264173,4.00589,1.614724
"360670048002",.082,4,-1.318115,5.318114,.47264173,1.737172,3.055286
"360670049001",.6159,5,5.425086,-.4250865,.47264173,4.603762,-.8213248
"360670049002",.2477,1,2.245804,-1.245804,.47264173,4.101734,1.85593
"360670050001",.4283,4,10.25039,-6.250388,.47264173,9.839795,-.410593
"360670050002",.1348,11,6.312343,4.687657,.47264173,8.517216,2.204873
"360670051001",.8003,16,13.49874,2.501258,.47264173,10.2573,-3.24144
"360670051002",.8413,13,14.36081,-1.360811,.47264173,11.04555,-3.315258
"360670051003",.7292,1,8.909866,-7.909866,.47264173,6.735908,-2.173959
"360670052001",.7643,16,11.347,4.652996,.47264173,8.592916,-2.754088
"360670052002",.8605,17,17.2326,-.2326031,.47264173,13.0627,-4.169906
"360670052003",.7704,17,15.82243,1.177566,.47264173,13.11641,-2.70602
"360670053001",.9893,16,17.09394,-1.093945,.47264173,12.27839,-4.815553
"360670053002",.8772,15,13.27164,1.728363,.47264173,9.069566,-4.202071
"360670054001",.9419,13,16.12702,-3.12702,.47264173,11.26649,-4.860533
"360670054002",.8966,12,16.40545,-4.405445,.47264173,12.04907,-4.356375
